date,headline,body,team,author
Jul 20 2026,DIVISIONS SET TO COLLIDE: West Prepares to Challenge Eastern Dominance,"After watching the East sweep the top spots last year—with Englewood 🥷s falling just short in 2nd place—the West Division is out for total redemption in 2026. Heavyweights like Pluto Shraazinatorz, The Watermark, and Doob's Agency are rumored to be revamping their draft boards to ensure the West reclaims league supremacy. Tensions are already boiling over across divisional lines, setting up an explosive Week 1 where early cross-divisional statement wins could define the entire playoff race.",,
Jul 20 2026,"The Watermark's Great Collapse: Best Record, Empty Trophy Case","Nobody in MFGA history has ever posted an 11-2 regular season and had less to show for it than Preston Schneider's Watermark, who face-planted in the very first round of the playoffs against Pluto Shraazinatorz, 107.32 to 95.7. This is a roster loaded for war — Jahmyr Gibbs anchoring as a keeper, Drake Maye slinging it, De'Von Achane and DeVonta Smith rounding out a nightmare matchup on paper. Instead, The Watermark limped through the consolation ladder and watched lesser teams hoist trophies. Garrett Wilson now sits on injured reserve heading into 2026, adding fresh doubt to an already cursed résumé. Book it now: this is either the best redemption arc in the league or the most talented team that just can't get out of its own way.",the-watermark,
Jul 20 2026,"Nabers In Paris Is a Ghost Town, and the Irony Is Brutal","Stephen Cerquone's Nabers In Paris authored the single worst season in league history last year — a 1-12 disaster with a league-worst 1,022 points that would make even the Chicago Zestiest Man blush. Adding insult to injury, the team's namesake, Malik Nabers, currently sits on injured reserve heading into the 2026 slate, which feels almost too poetic for a franchise that has been nothing but pain since inception. A 12-game losing streak isn't a slump, it's an identity. Unless Jared Goff and TreVeyon Henderson stage a miracle turnaround, this team may be headed for a second consecutive last-place finish. Paris was supposed to be romantic — instead, this roster is a horror film.",nabers-in-paris,
Jul 20 2026,The Amon-Ra Identity Crisis Nobody Saw Coming,"Somebody explain to Andrew Grossman why his team, literally named Amon Ra Dawgin, does not roster Amon-Ra St. Brown — because Marty Hughes' team, simply called Beer, is the one holding St. Brown alongside Lamar Jackson and Nick Chubb on the bench. That is the kind of cosmic betrayal that starts blood feuds in fantasy leagues, and MFGA should be bracing for a grudge match when these two franchises meet on the schedule. Meanwhile, Carter Cole's I ♥ Gingers roster is quietly stacked with a poetic gut-punch of its own, rostering Jordan Love, Derrick Henry, Ja'Marr Chase and Breece Hall. Sleeper alert: that Gingers squad went 9-4 a year ago and has the receiving corps to make noise deep into the winter. Rivalries in this league aren't drawn on a map, they're drawn in irony.",amon-ra-dawgin,
Jul 20 2026,"Two Hughes, One Trophy Case: A House Divided Ahead of Draft Day","Every league has a rivalry it doesn't talk about enough, and in the MFGA, it's a family one. Liam Hughes built Mount Olympus Yogurt Dressing into the league's quiet standard-bearer, an East division title in 2025 and a runner-up finish the year before it — steady, unglamorous, effective. Marty Hughes built something else entirely with Beer: an 11-2 team in 2024 that still somehow finished 8th, followed by a 4-9 collapse in 2025, the fantasy equivalent of a rollercoaster with no seatbelt. But that's not where this story begins — it begins at whatever holiday table these two sit at together, where one Hughes has a division banner and the other has an explanation. Some seasons change everything, and for the Hughes household, every season seems to change something. Draft day on August 1st will put both of their names on the board within minutes of each other, a coincidence that stopped being a coincidence years ago. And in the end, the league remembers who's actually winning at Thanksgiving — even if the standings say something else.",,Valentina Rojas
Jul 20 2026,Power Rankings Nobody Asked For: The Worst Team Names in the MFGA,"It's time for the only power rankings that matter: worst team names in the MFGA, a category that is somehow more competitive than the actual standings. VancouverPantiesDeJarome remains undefeated in the ""wait, what?"" division, and I refuse to explain it because I still don't understand it myself. Doob's Agency sounds like a guy who'll get you concert tickets but also might be a substitute teacher, and honestly both feel true. I ♥ Gingers gets bonus points for the emoji doing more character work than most fantasy rosters. Chicago Zestiest Man is out here just vibing, undefeated in the category of ""sentence that means nothing,"" and I respect the commitment. Oh, and The Watermark's in this league too, I guess — sure, fine, moving on. Sources close to the situation (me, I'm the source) confirm none of these owners will rename their teams no matter how much I beg. T-BONE'S COMPLETELY SERIOUS AND DEFINITELY ACCURATE PREDICTION: VancouverPantiesDeJarome wins the ""name that ages worst"" award again in 2026, and no, I will not be taking questions.",vancouver-panties,"Tommy ""T-Bone"" Mancini"
Jul 20 2026,From Worst to First: Fort Bragg Proved Records Are for Losers,"Fort Bragg Confederates finished in 14th place in 2024 at 4-9. This would have been dead last in the current 14-team format. One year later, Harrison Bragg's club is hoisting the MFGA trophy. That's not luck. That's a franchise that got hungry after getting embarrassed. The Watermark went 11-2 in the regular season and still watched someone else win it all; you don't win championships with a soft schedule, you win them when it matters. Mark my words: Bragg's crew didn't stumble into this, and they're not going to back into a title defense either. Pakistan Bombers, meanwhile, have gone from 2023 champs to back-to-back non-playoff seasons; that's a Monday morning quarterback situation if I've ever seen one. The draft room on August 1st will separate the pretenders from the contenders. And that's not a prediction; that's a promise.",fort-bragg,"Rick ""The Hammer"" Dalton"
Jul 20 2026,11-2 and Home Early: What The Watermark's Collapse Really Tells Us,"Let's talk about The Watermark's 2025 season, because the record lies even when the model doesn't: 11-2, best mark in the league, +17.8 differential, and a final finish of 5th after the playoff bracket ate them alive. That's a textbook case of ceiling versus floor, great regular season efficiency, poor postseason variance capture. Fort Bragg Confederates, by contrast, posted a modest 9-4 and still walked away champions. Could this have been a fluke? Pakistan Bombers have now posted back-to-back seasons in the 5-8 range after their 2023 title, a two-year regression that the model projects continuing unless there's a real roster overhaul at the draft table. Mount Olympus Yogurt Dressing has been schedule-adjusted excellent in back-to-back years, 2nd in 2024, East champs in 2025, which is the most quietly sustainable profile in the league. The data is clear: this league rewards playoff-week performance far more than full-season dominance. Maya's Model says: The Watermark has a 61.4% chance of a top-3 regular season finish again, but only a 22.8% chance of converting it into a title. Regression is coming, and it's bringing friends.",the-watermark,Maya Chen
Jul 20 2026,1-12 and Invisible: Nabers In Paris and the Gingers Nobody's Talking About,"Somebody tell Stephen Cerquone that 1-12 is not a typo, because Nabers In Paris just posted the worst season in this league's recorded history?! Are we really supposed to believe that's just ""bad luck,"" or is this a full-on identity crisis?! Meanwhile I ♥ Gingers quietly went 9-4 and NOBODY is talking about them — Carter Cole, I see you, and I don't know why this league is sleeping! You want me to believe a 9-4 team just gets skipped over in every conversation while everybody's busy crying about The Watermark?! That's not a team getting disrespected, that's a robbery in broad daylight! Cerquone better show up to this draft with something to prove, because the group chat has not let this go. SHOWTIME'S SPICY TAKE: Nabers In Paris either goes full teardown or gets embarrassed again, there is no in-between. AND I SAID WHAT I SAID.",nabers-in-paris,"DeShawn ""Showtime"" Harris"
Jul 20 2026,The Hardest Repeat in Fantasy: Amon Ra Dawgin's Title Defense Autopsy,"Let's talk about the hardest thing to do in this league: defending a title. Amon ra dawgin won it all in 2024 as Coopa troopas, then followed it up with a 5-8 season that didn't sniff the playoffs. The question isn't whether Andrew Grossman got complacent — the question is whether a championship roster built for one specific year can simply be run back as-is. If the strategy last year was ""the roster is good enough,"" this draft needs to be a correction, not a continuation. If it was bad injury luck or a soft landing spot, the fix is smaller than people think. Let's look at this from both sides: over-drafting for name recognition from a title run is a common trap, but so is panic-trading a core that was one break away from repeating. Claire's Verdict: Amon ra dawgin's draft-day approach on August 1st will tell us more about their self-awareness than their talent evaluation. The draft is a marathon — act accordingly.",amon-ra-dawgin,Claire Westbrook
Jul 30 2026,"Fort Bragg Just Sold the Farm, and Englewood Is Laughing All the Way to the Bank","The Fort Bragg Confederates have officially traded the first overall pick in Saturday's draft to the Englewood Ninjas. In return, Fort Bragg receives picks 2.13 and 5.2. Let me be absolutely clear about what just happened. Fort Bragg gave away the most valuable asset in this entire draft — the number one pick, the crown jewel, the thing every franchise in this league would kill for — and got back the second-to-last pick in the first round and an early fifth. That's not a trade. That's a surrender. I've been covering this league long enough to know what desperation looks like. Fort Bragg already traded away their third-round pick to Pluto Shrazz and their fifth to Nabers in Paris earlier this offseason. Now they're punting the first overall? This is a franchise in free fall. Three premium picks gone and nothing but scraps to show for it. The Ninjas, meanwhile, just pulled off the heist of the decade. They now hold the first overall pick. That's how you build a dynasty. That's how you win championships. The keeper deadline is noon Friday. The draft is Saturday at noon. Fort Bragg has two days to convince themselves this was smart. Mark my words — by Week 6, Bragg will be staring at 1-5 wondering where it all went wrong. And that's not a prediction. That's a promise.",fort-bragg,"RICK ""THE HAMMER"" DALTON"
Jul 30 2026,The Achane Situation: Why the Numbers Say Pluto Should Walk Away,"The De'Von Achane trade talks between The Watermark and Pluto Shraazinatorz are at an impasse, and the model thinks that might be the best outcome for Pluto. Achane finished 2025 as a top-five back in per-game PPR scoring, but the 2026 context is materially different. Miami hired Jeff Hafley and Bobby Slowik, replacing the McDaniel system that generated 85 targets for Achane last season. Malik Willis takes over at quarterback. Willis's career check-down rate sits at 14.3%, nearly 9 points below Tua Tagovailoa's. The model projects Achane's reception total dropping from 67 to somewhere between 41 and 48 — a reduction that shaves roughly 3.2 PPR points per game off his floor. Doob's Agency pulling out of talks is significant. With only one bidder remaining, The Watermark has zero leverage to demand premium compensation, yet sources say they're still pushing for more. That's a negative expected value negotiation posture with 36 hours until the keeper deadline. The keeper deadline is Friday at noon. If The Watermark can't close by then, Achane stays put and becomes a draft-day asset instead — where his value will be lower because every manager in this league can read a depth chart change. Maya's Model says: Pluto Shraazinatorz should offer 8% less than whatever their current bid is, not more. There's a 71.4% chance The Watermark blinks before Friday.",pluto-shraazinatorz,MAYA CHEN
Jul 30 2026,CHICAGO ZESTIEST MAN TOLD FORT BRAGG TO KICK ROCKS AND I AM HERE FOR IT ???,"You want to know the funniest thing I've heard all week? Fort Bragg — the same Fort Bragg that just GAVE AWAY the first overall pick to Englewood for pennies — had the AUDACITY to go to Chicago Zestiest Man and propose a first round pick swap where CZM would have to attach TWO sixth round picks just to move up. ARE YOU SERIOUS RIGHT NOW?! And you know what CZM said? Told him to kick rocks. KICK. ROCKS. I wish I could frame that text message and hang it in the MFGA Hall of Fame because that is the most disrespectful rejection I have ever seen in this league and Bragg DESERVED every bit of it! Meanwhile, Englewood just finessed the first pick in the entire draft. Drew Flynn said ""give me your lunch money"" and Harrison Bragg said ""yes sir, would you also like my jacket?"" I cannot believe what I'm watching! And speaking of moves people will regret — Amon Ra Dawgin quietly switched their keeper from Quinshon Judkins to Omarion Hampton. Nobody's talking about this! Hampton is heading into a McDaniel offense with no competition for touches! That might be the smartest move anyone in the West has made all month! SHOWTIME'S SPICY TAKE: Fort Bragg finishes last in the East. Dead last. Save this tweet. AND I SAID WHAT I SAID.",chicago-zestiest,"DESHAWN ""SHOWTIME"" HARRIS"
Jul 30 2026,Inside the Amon Ra Keeper Switch — And Why It Tells You Everything About the West Division,"Amon Ra Dawgin made a quiet but significant move this week, switching their keeper from Quinshon Judkins to Omarion Hampton. On the surface, it's a lateral move between two second-year backs. Below the surface, it reveals a sophisticated read on offensive scheme. The question isn't whether Judkins or Hampton is the better pure runner — the question is which player's situation improved more this offseason. Hampton now plays in Mike McDaniel's offense in Los Angeles, the same system that produced top-five PPR seasons for Raheem Mostert and Achane in Miami. McDaniel's outside-zone scheme generates receiving work for the lead back at an elite rate. Judkins, meanwhile, plays behind a Cleveland offensive line that lost two starters and has Shedeur Sanders learning on the job at quarterback. It's a process move, not a talent move. And those are the ones that pay off in December. Separately, the Fort Bragg–Englewood trade deserves context beyond the initial reaction. Fort Bragg now holds 2.13 and 5.2 from this deal, plus Pakistan Bombers third-round pick, giving them three selections in the top 60. If they're targeting a specific tier of player rather than a single name, the math works — three solid starters can outproduce one elite player over a full season. The risk is obvious: elite talent wins playoffs, depth wins regular seasons. Claire's Verdict: Amon Ra made the smarter move this week. The Englewood-Fort Bragg deal is more interesting than it looks at first glance, but Englewood still won it.",amon-ra-dawgin,CLAIRE WESTBROOK
Jul 30 2026,Achane Trade Talks Stall Because Of Course They Do,"Breaking news from the MFGA trade wire: The Watermark and Pluto Shraazinatorz have been in talks to send De'Von Achane to Pluto, but the deal has stalled because — and I quote — The Watermark ""wants just a little more."" A little more WHAT? A little more of Pluto's dignity? A commemorative coin? A handwritten apology letter? These talks have been going on long enough to qualify as a long-term relationship and somehow they still can't agree on terms. Doob's Agency already saw this coming and pulled out of negotiations entirely, which is the smartest thing anyone named Doob has ever done. The keeper deadline is Friday at noon. The draft is Saturday. We are now in ""or else"" territory. Either this trade happens in the next 36 hours or Achane goes to the draft pool and The Watermark gets nothing. I mean someone has to finish deadlast. Sources close to the situation (me, I'm the source) confirm that Pluto Shraazinatorz has been refreshing their group chat every four minutes waiting for a counter-offer. That's not a bit. That's real. T-BONE'S COMPLETELY SERIOUS AND DEFINITELY ACCURATE PREDICTION: The trade gets done at 11:58 AM Friday, two minutes before deadline, because this league cannot do anything without maximum chaos. And no, I will not be taking questions.",the-watermark,"TOMMY ""T-BONE"" MANCINI"
Jul 31 2026,DEEBO'S REVENGE TOUR JUST STARTED AND YOUR DRAFT BOARDS ARE ALREADY WRONG,"OH YOU THOUGHT THE DAY BEFORE THE DRAFT WAS GONNA BE QUIET?! DEEBO SAMUEL JUST WALKED BACK INTO SAN FRANCISCO LIKE HE NEVER LEFT AND EVERY SINGLE ONE OF YOU NEEDS TO TEAR UP YOUR CHEAT SHEETS RIGHT NOW! This man DEMANDED a trade out of the 49ers, went to Washington, put up numbers on a 5-12 dumpster fire, and now he's back with Kyle Shanahan who turned him into a WEAPON?! And Pearsall's knee is DONE?! And Kirk is hobbling around on one leg?! Deebo might be the WR2 on this team behind Mike Evans by WEEK ONE! I called it when I said this league needs to stop sleeping on value — remember when I told y'all I ♥ Gingers went 9-4 and NOBODY was talking about them?! This is the same energy! Deebo at his current draft price is I ♥ Gingers 2.0 — everyone ignoring him while he quietly becomes a league winner! And don't even get me started on Stefon Diggs. Bro. It's JULY 31ST. Training camps are OPEN. The draft is TOMORROW. And this man does not have a TEAM. The Patriots took him to the SUPER BOWL and then said ""thanks but no thanks."" The Commanders are reportedly interested but reportedly interested has bought exactly ZERO fantasy points in the history of this league! If anyone in the MFGA drafts Diggs before Round 12 tomorrow I will personally roast them in next week's column!",,"DESHAWN ""SHOWTIME"" HARRIS"
Jul 31 2026,TWEET,"Pearsall PCL — 67.3% chance he misses 8+ games. Deebo's projected target share in that scenario jumps to 18.7%. At his current ADP he's a massive value. Diggs? The model can't project a player without a team, and that IS the projection. Draft accordingly.",,MAYA CHEN
Jul 31 2026,"Deebo Goes Home, Diggs Goes Nowhere, and Tomorrow's Draft Just Got Spicier Than Chicago Zestiest Man's Nickname","So let me get this straight. Deebo Samuel — the man who literally demanded to leave San Francisco, got traded to Washington, watched them go 5-12, and then hit free agency — just signed BACK with the 49ers like nothing happened. That's not a free agent signing, that's a Hallmark movie. ""The Receiver Who Came Home for Christmas."" Except it's July and the only gift is $7 million in incentives. I'm not gonna lie though, this is actually a sneaky great fantasy pickup for anyone paying attention. Pearsall's knee is basically a science experiment at this point, Kirk's calf is doing its own thing, and suddenly Deebo is the second option in a Kyle Shanahan offense with Brock Purdy throwing to him. If someone in our league grabs him after Round 9 tomorrow, that person is winning the trade nobody made. And then there's Stefon Diggs, the most talented unemployment case in football history. This man went to the SUPER BOWL five months ago. He caught 85 balls for over a thousand yards. He was found not guilty. And he STILL can't get a job. That's like being employee of the month at a company that then fires you and shreds your parking pass. Oh, and since we're talking about teams with questionable decision-making — quick shoutout to whoever's managing certain franchises in the West division. I hear some teams went 11-2 and still managed to choke their way out of playoff contention. Sure, that's probably fine. Good for them. Moving on. Sources close to the situation (me, I'm the source) confirm that at least three MFGA managers have already texted the group chat asking ""should I draft Deebo?"" which means he's going to go in Round 6 because this league panics at every piece of news like it's a stock market crash.",,"TOMMY ""T-BONE"" MANCINI"
